"timestamp","pair","EUR/USD"
2026-02-04 03:18:51,EUR/USD,$1.183180
2026-02-04 03:08:51,EUR/USD,$1.181895
2026-02-04 02:52:51,EUR/USD,$1.183272
2026-02-04 02:34:51,EUR/USD,$1.181988
2026-02-04 02:18:51,EUR/USD,$1.183479
2026-02-04 02:16:51,EUR/USD,$1.184831
2026-02-04 01:22:51,EUR/USD,$1.183116
2026-02-04 01:16:51,EUR/USD,$1.181852
2026-02-03 22:50:51,EUR/USD,$1.183522
2026-02-03 22:44:51,EUR/USD,$1.182230
2026-02-03 22:38:51,EUR/USD,$1.184673
2026-02-03 22:32:51,EUR/USD,$1.182443
2026-02-03 22:30:51,EUR/USD,$1.184126
2026-02-03 22:24:51,EUR/USD,$1.182384
2026-02-03 22:20:51,EUR/USD,$1.183857
2026-02-03 21:20:51,EUR/USD,$1.182295
2026-02-03 21:18:51,EUR/USD,$1.183493
2026-02-03 21:04:51,EUR/USD,$1.181933
2026-02-03 21:02:51,EUR/USD,$1.183716
2026-02-03 20:38:51,EUR/USD,$1.182230
2026-02-03 19:46:51,EUR/USD,$1.183427
2026-02-03 19:34:51,EUR/USD,$1.182051
2026-02-03 19:32:51,EUR/USD,$1.183728
2026-02-03 19:10:51,EUR/USD,$1.182057
2026-02-03 19:08:51,EUR/USD,$1.183335
2026-02-03 18:54:51,EUR/USD,$1.181999
2026-02-03 18:52:51,EUR/USD,$1.183904
2026-02-03 18:46:51,EUR/USD,$1.182026
2026-02-03 18:44:51,EUR/USD,$1.183761
2026-02-03 18:24:51,EUR/USD,$1.182567
2026-02-03 17:56:51,EUR/USD,$1.181223
2026-02-03 17:52:51,EUR/USD,$1.183144
2026-02-03 17:48:51,EUR/USD,$1.181314
2026-02-03 17:42:51,EUR/USD,$1.182638
2026-02-03 17:30:51,EUR/USD,$1.181056
2026-02-03 15:12:51,EUR/USD,$1.182302
2026-02-03 14:48:51,EUR/USD,$1.180556
2026-02-03 13:04:51,EUR/USD,$1.180557
2026-02-03 13:00:51,EUR/USD,$1.182174
2026-02-03 12:58:51,EUR/USD,$1.180769
2026-02-03 10:42:51,EUR/USD,$1.182017
2026-02-03 10:34:51,EUR/USD,$1.180757
2026-02-03 10:08:51,EUR/USD,$1.181984
2026-02-03 09:54:51,EUR/USD,$1.180801
2026-02-03 08:38:51,EUR/USD,$1.179495
2026-02-03 08:08:51,EUR/USD,$1.178142
2026-02-03 06:30:51,EUR/USD,$1.179545
2026-02-03 05:48:51,EUR/USD,$1.178283
2026-02-03 05:30:51,EUR/USD,$1.179495
2026-02-03 05:12:51,EUR/USD,$1.178245
2026-02-03 05:08:51,EUR/USD,$1.179502
2026-02-03 04:56:51,EUR/USD,$1.178183
2026-02-03 03:40:51,EUR/USD,$1.179601
2026-02-03 02:10:51,EUR/USD,$1.180877
2026-02-03 01:30:51,EUR/USD,$1.182079
2026-02-03 00:58:51,EUR/USD,$1.180745
2026-02-03 00:44:51,EUR/USD,$1.181968
2026-02-03 00:02:51,EUR/USD,$1.180402
